[span_L5_s21_c1_z1_T1] start fitness 2999 / 4096  (CZ layer 1, LCX 1, TEMP 1.00, MAXMUT 3, KICK 8 gates after 60s stuck)
[2026-09-25 05:14:33] span_L5_s21_c1_z1_T1   1284s  best 3881/4096  current 3749  kicks 15  iters 43268462 (33690/s)  best: cx 26 tof 18
[2026-09-25 05:14:48] span_L5_s21_c1_z1_T1   1299s  best 3881/4096  current 3753  kicks 16  iters 43795966 (33709/s)  best: cx 26 tof 18
[2026-09-25 05:14:58] span_L5_s21_c1_z1_T1   1310s  best 3881/4096  current 3753  kicks 16  iters 44136893 (33704/s)  best: cx 26 tof 18
[2026-09-25 05:15:09] span_L5_s21_c1_z1_T1   1320s  best 3881/4096  current 3753  kicks 16  iters 44450466 (33678/s)  best: cx 26 tof 18
[2026-09-25 05:15:24] span_L5_s21_c1_z1_T1   1335s  best 3881/4096  current 3753  kicks 16  iters 44916783 (33653/s)  best: cx 26 tof 18
[2026-09-25 05:15:34] span_L5_s21_c1_z1_T1   1345s  best 3881/4096  current 3753  kicks 16  iters 45233370 (33633/s)  best: cx 26 tof 18
[2026-09-25 05:15:48] span_L5_s21_c1_z1_T1   1359s  best 3881/4096  current 3763  kicks 17  iters 45771809 (33683/s)  best: cx 26 tof 18
[2026-09-25 05:15:58] span_L5_s21_c1_z1_T1   1369s  best 3881/4096  current 3763  kicks 17  iters 46158350 (33718/s)  best: cx 26 tof 18
[2026-09-25 05:16:13] span_L5_s21_c1_z1_T1   1384s  best 3881/4096  current 3795  kicks 17  iters 46726744 (33762/s)  best: cx 26 tof 18
[2026-09-25 05:16:28] span_L5_s21_c1_z1_T1   1399s  best 3881/4096  current 3795  kicks 17  iters 47300799 (33812/s)  best: cx 26 tof 18
[2026-09-25 05:16:38] span_L5_s21_c1_z1_T1   1409s  best 3881/4096  current 3795  kicks 17  iters 47681222 (33841/s)  best: cx 26 tof 18
[2026-09-25 05:16:48] span_L5_s21_c1_z1_T1   1420s  best 3881/4096  current 3683  kicks 18  iters 48031921 (33835/s)  best: cx 26 tof 18
[2026-09-25 05:16:59] span_L5_s21_c1_z1_T1   1430s  best 3881/4096  current 3691  kicks 18  iters 48365141 (33829/s)  best: cx 26 tof 18
[2026-09-25 05:17:14] span_L5_s21_c1_z1_T1   1445s  best 3881/4096  current 3737  kicks 18  iters 48878422 (33834/s)  best: cx 26 tof 18
[2026-09-25 05:17:29] span_L5_s21_c1_z1_T1   1460s  best 3881/4096  current 3791  kicks 18  iters 49418086 (33852/s)  best: cx 26 tof 18
[2026-09-25 05:17:39] span_L5_s21_c1_z1_T1   1470s  best 3881/4096  current 3803  kicks 18  iters 49748270 (33845/s)  best: cx 26 tof 18
[2026-09-25 05:17:49] span_L5_s21_c1_z1_T1   1480s  best 3881/4096  current 3725  kicks 19  iters 50068062 (33828/s)  best: cx 26 tof 18
[2026-09-25 05:18:04] span_L5_s21_c1_z1_T1   1495s  best 3881/4096  current 3789  kicks 19  iters 50559683 (33827/s)  best: cx 26 tof 18
[2026-09-25 05:18:18] span_L5_s21_c1_z1_T1   1509s  best 3881/4096  current 3789  kicks 19  iters 51081188 (33850/s)  best: cx 26 tof 18
[2026-09-25 05:18:28] span_L5_s21_c1_z1_T1   1519s  best 3881/4096  current 3797  kicks 19  iters 51458249 (33866/s)  best: cx 26 tof 18
