[span_L7_s63_c1_z3_long] start fitness 3232 / 4096  (CZ layer 3, LCX 1, TEMP 1.00, MAXMUT 3, KICK 8 gates after 60s stuck)
[2026-09-25 07:43:48] span_L7_s63_c1_z3_long   1606s  best 3680/4096  current 3646  kicks 17  iters 3606651 (2246/s)  best: cx 35 tof 29
[2026-09-25 07:44:03] span_L7_s63_c1_z3_long   1621s  best 3689/4096  current 3686  kicks 17  iters 3640068 (2246/s)  best: cx 36 tof 28
[2026-09-25 07:44:18] span_L7_s63_c1_z3_long   1636s  best 3699/4096  current 3698  kicks 17  iters 3673323 (2245/s)  best: cx 39 tof 30
[2026-09-25 07:44:28] span_L7_s63_c1_z3_long   1646s  best 3701/4096  current 3701  kicks 17  iters 3694950 (2245/s)  best: cx 41 tof 31
[2026-09-25 07:44:38] span_L7_s63_c1_z3_long   1656s  best 3707/4096  current 3704  kicks 17  iters 3716842 (2244/s)  best: cx 43 tof 29
[2026-09-25 07:44:48] span_L7_s63_c1_z3_long   1666s  best 3714/4096  current 3714  kicks 17  iters 3738709 (2244/s)  best: cx 46 tof 28
[2026-09-25 07:45:03] span_L7_s63_c1_z3_long   1681s  best 3718/4096  current 3717  kicks 17  iters 3770444 (2243/s)  best: cx 40 tof 29
[2026-09-25 07:45:18] span_L7_s63_c1_z3_long   1696s  best 3718/4096  current 3713  kicks 17  iters 3802851 (2242/s)  best: cx 40 tof 29
[2026-09-25 07:45:28] span_L7_s63_c1_z3_long   1706s  best 3718/4096  current 3715  kicks 17  iters 3823726 (2241/s)  best: cx 40 tof 29
[2026-09-25 07:45:38] span_L7_s63_c1_z3_long   1716s  best 3718/4096  current 3717  kicks 17  iters 3844180 (2239/s)  best: cx 40 tof 29
[2026-09-25 07:45:49] span_L7_s63_c1_z3_long   1726s  best 3719/4096  current 3717  kicks 17  iters 3864097 (2238/s)  best: cx 39 tof 31
[2026-09-25 07:46:03] span_L7_s63_c1_z3_long   1741s  best 3720/4096  current 3718  kicks 17  iters 3893473 (2236/s)  best: cx 38 tof 29
[2026-09-25 07:46:18] span_L7_s63_c1_z3_long   1756s  best 3720/4096  current 3718  kicks 17  iters 3923760 (2234/s)  best: cx 38 tof 29
[2026-09-25 07:46:28] span_L7_s63_c1_z3_long   1766s  best 3723/4096  current 3723  kicks 17  iters 3944217 (2233/s)  best: cx 43 tof 28
[2026-09-25 07:46:38] span_L7_s63_c1_z3_long   1776s  best 3725/4096  current 3725  kicks 17  iters 3964115 (2231/s)  best: cx 36 tof 26
[2026-09-25 07:46:48] span_L7_s63_c1_z3_long   1786s  best 3739/4096  current 3738  kicks 17  iters 3984439 (2230/s)  best: cx 38 tof 32
[2026-09-25 07:46:59] span_L7_s63_c1_z3_long   1796s  best 3744/4096  current 3743  kicks 17  iters 4004819 (2229/s)  best: cx 39 tof 29
[2026-09-25 07:47:13] span_L7_s63_c1_z3_long   1811s  best 3745/4096  current 3744  kicks 17  iters 4034575 (2227/s)  best: cx 41 tof 31
[2026-09-25 07:47:29] span_L7_s63_c1_z3_long   1826s  best 3745/4096  current 3742  kicks 17  iters 4065288 (2225/s)  best: cx 41 tof 31
[2026-09-25 07:47:43] span_L7_s63_c1_z3_long   1841s  best 3745/4096  current 3743  kicks 17  iters 4094982 (2224/s)  best: cx 41 tof 31
[2026-09-25 07:47:53] span_L7_s63_c1_z3_long   1851s  best 3745/4096  current 3744  kicks 17  iters 4115381 (2223/s)  best: cx 41 tof 31
[2026-09-25 07:48:03] span_L7_s63_c1_z3_long   1861s  best 3745/4096  current 3744  kicks 17  iters 4135731 (2222/s)  best: cx 41 tof 31
[2026-09-25 07:48:18] span_L7_s63_c1_z3_long   1876s  best 3745/4096  current 3574  kicks 18  iters 4165883 (2221/s)  best: cx 41 tof 31
[2026-09-25 07:48:28] span_L7_s63_c1_z3_long   1886s  best 3745/4096  current 3571  kicks 18  iters 4188489 (2220/s)  best: cx 41 tof 31
