[evo3_logo_L6_s1] start fitness 3269 / 4096  P3 0.30  restart after 90s without gain
[2026-09-25 02:31:02] evo3_logo_L6_s1   1551s  best 3903/4096  current 3875  restarts 6  iters 56439580 (36378/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:31:17] evo3_logo_L6_s1   1566s  best 3903/4096  current 3875  restarts 6  iters 56996059 (36388/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:31:28] evo3_logo_L6_s1   1577s  best 3903/4096  current 3875  restarts 6  iters 57375578 (36391/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:31:38] evo3_logo_L6_s1   1587s  best 3903/4096  current 3875  restarts 6  iters 57735711 (36387/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:31:48] evo3_logo_L6_s1   1597s  best 3903/4096  current 3711  restarts 7  iters 58093472 (36367/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:32:03] evo3_logo_L6_s1   1612s  best 3903/4096  current 3733  restarts 7  iters 58590558 (36348/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:32:18] evo3_logo_L6_s1   1627s  best 3903/4096  current 3803  restarts 7  iters 59109538 (36336/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:32:33] evo3_logo_L6_s1   1642s  best 3903/4096  current 3803  restarts 7  iters 59652469 (36333/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:32:48] evo3_logo_L6_s1   1657s  best 3903/4096  current 3803  restarts 7  iters 60186394 (36328/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:33:03] evo3_logo_L6_s1   1672s  best 3903/4096  current 3803  restarts 7  iters 60730406 (36327/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:33:13] evo3_logo_L6_s1   1682s  best 3903/4096  current 3803  restarts 7  iters 61088471 (36322/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:33:28] evo3_logo_L6_s1   1697s  best 3903/4096  current 3803  restarts 7  iters 61618012 (36314/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:33:38] evo3_logo_L6_s1   1707s  best 3903/4096  current 3803  restarts 7  iters 61971663 (36308/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:33:52] evo3_logo_L6_s1   1722s  best 3903/4096  current 3807  restarts 7  iters 62516117 (36314/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:34:03] evo3_logo_L6_s1   1732s  best 3903/4096  current 3807  restarts 7  iters 62891174 (36320/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:34:13] evo3_logo_L6_s1   1742s  best 3903/4096  current 3807  restarts 7  iters 63260932 (36320/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:34:28] evo3_logo_L6_s1   1757s  best 3903/4096  current 3811  restarts 7  iters 63803255 (36322/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:34:38] evo3_logo_L6_s1   1767s  best 3903/4096  current 3811  restarts 7  iters 64169569 (36320/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:34:53] evo3_logo_L6_s1   1782s  best 3903/4096  current 3811  restarts 7  iters 64715565 (36324/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:35:07] evo3_logo_L6_s1   1796s  best 3903/4096  current 3841  restarts 7  iters 65271864 (36336/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:35:12] evo3_logo_L6_s1   1801s  best 3903/4096  current 3842  restarts 7  iters 65467419 (36344/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[evo3_logo_L6_s1] final best 3903 / 4096  readout (11, 17, 1, 0)  restarts 7
